Tamanho de pacote,Desvio Padrão de Packet Loss,Desvio Padrão de Loss Percentage(%),Desvio Padrão do Time Delta Mean(s),Desvio Padrão do Total Time(s),Desvio Padrão de Total Bytes(B),Desvio Padrão do Throughput(Kbps)
70,0,0%,0.0012204263117655953,0.12204263117655904,0,0.44145540783423254
71,0,0%,0.0011984483199912366,0.11984483199912345,0,0.43346059573847906
72,0,0%,0.0009933968530735568,0.09933968530735594,0,0.3649794781529708
73,0,0%,0.0002304284094519389,0.02304284094519401,0,0.07869566502313981
74,0,0%,0.0002578912074710269,0.025789120747102948,0,0.08790823712199987
75,0,0%,0.0002557381727932867,0.02557381727932769,0,0.08719664604839128
76,0,0%,0.0005970644193226679,0.059706441932266395,0,0.21448224887198725
77,0,0%,0.0013496115531005082,0.13496115531005062,0,0.4963173125975441
78,0,0%,0.0006154250499186032,0.06154250499186049,0,0.23443012072548972
79,0,0%,0.000642389969991012,0.06423899699910132,0,0.22646686717459236
80,0,0%,0.0003940908100904022,0.03940908100904008,0,0.1299767720898029
81,0,0%,0.0009138551416326011,0.09138551416325999,0,0.3336304228436892
82,0,0%,0.0010381765966543583,0.10381765966543532,0,0.3704226403336717
83,0,0%,0.0014056334075472235,0.14056334075472351,0,0.5035985645003509
84,0,0%,0.0013935118985810807,0.1393511898581076,0,0.5083798824520783
85,0,0%,0.0014071895868068337,0.1407189586806836,0,0.0687655955348841
86,0,0%,0.0012892053379515867,0.12892053379515972,0,0.06407546180380601
87,0,0%,0.0014291471761494873,0.14291471761494864,0,0.07101465673683993
88,0,0%,0.0012617445261791035,0.12617445261791085,0,0.062437381457387614
89,0,0%,0.0013470000756718296,0.13470000756718395,0,0.06873715126029069
90,0,0%,0.0010134183552101416,0.10134183552101313,0,0.05195622712519061
91,0,0%,0.0012130423597103304,0.12130423597103353,0,0.06340951277002392
92,0,0%,0.0015653474483439866,0.15653474483439786,0,0.08197850507864007
93,0,0%,0.001287930065485958,0.12879300654859638,0,0.06838557597722879
94,0,0%,0.0011672128485025416,0.11672128485025465,0,0.06248000145633853
95,0,0%,0.0010730201021620076,0.10730201021620124,0,0.057721091657445114
96,0,0%,0.0013741294219904302,0.13741294219904243,0,0.07468141978867117
97,0,0%,0.00134661023660338,0.1346610236603378,0,0.07449473290669384
98,0,0%,0.0011162968531636128,0.11162968531636126,0,0.06074886530098025
99,0,0%,0.001171673481731418,0.11716734817314246,0,0.06519269399460852
100,0,0%,0.001433644962811574,0.1433644962811578,0,0.08111331129380106
101,0,0%,0.0014368137875581156,0.14368137875581166,0,0.08096967822002356
102,0,0%,0.0013430479849781633,0.13430479849781607,0,0.07802392733947676
103,0,0%,0.0011043985814025096,0.11043985814025072,0,0.0638458985124366
104,0,0%,0.001480179000577097,0.1480179000577095,0,0.0872927002281858
105,0,0%,0.0013447035765299263,0.13447035765299226,0,0.07938686090477984
